总类别,子类别,商标名,商标图片地址,txt地址
穿着-装扮,面部护肤,Innisfree悦诗风吟,./穿着-装扮/面部护肤/Innisfree悦诗风吟/17494092357_207x90.gif,./穿着-装扮/面部护肤/Innisfree悦诗风吟/爱茉莉太平洋贸易有限公司.txt
穿着-装扮,面部护肤,玖玫JIUMEI,./穿着-装扮/面部护肤/玖玫JIUMEI/09072039640_138x60.gif,./穿着-装扮/面部护肤/玖玫JIUMEI/济南玖玫玫瑰制品有限公司.txt
穿着-装扮,珠宝首饰,Rolex劳力士,./穿着-装扮/珠宝首饰/Rolex劳力士/10341463003_207x90.gif,./穿着-装扮/珠宝首饰/Rolex劳力士/劳力士(北京)有限公司.txt
穿着-装扮,面部护肤,Sulwhasoo雪花秀,./穿着-装扮/面部护肤/Sulwhasoo雪花秀/10341839097_207x90.gif,./穿着-装扮/面部护肤/Sulwhasoo雪花秀/爱茉莉太平洋贸易有限公司.txt
穿着-装扮,鞋袜-箱包,HushPuppies暇步士,./穿着-装扮/鞋袜-箱包/HushPuppies暇步士/21255472253_207x90.gif,./穿着-装扮/鞋袜-箱包/HushPuppies暇步士/新百丽鞋业(深圳)有限公司.txt
穿着-装扮,美发-护发,依采ES,./穿着-装扮/美发-护发/依采ES/17560239389_207x90.gif,./穿着-装扮/美发-护发/依采ES/名臣健康用品股份有限公司.txt
穿着-装扮,美发-护发,梦唯诗MOONWISH,./穿着-装扮/美发-护发/梦唯诗MOONWISH/17560470597_207x90.gif,./穿着-装扮/美发-护发/梦唯诗MOONWISH/青岛千姿发制品有限公司.txt
穿着-装扮,面部护肤,羽西YUESAI,./穿着-装扮/面部护肤/羽西YUESAI/19073779338_207x90.gif,./穿着-装扮/面部护肤/羽西YUESAI/欧莱雅(中国)有限公司.txt
穿着-装扮,珠宝首饰,同晖首饰,./穿着-装扮/珠宝首饰/同晖首饰/09403842979_207x90.gif,./穿着-装扮/珠宝首饰/同晖首饰/北京市同晖珠宝首饰有限公司.txt
穿着-装扮,运动鞋服,YONEX尤尼克斯,./穿着-装扮/运动鞋服/YONEX尤尼克斯/19511480126_207x90.gif,./穿着-装扮/运动鞋服/YONEX尤尼克斯/尤尼克斯(上海)体育用品有限公司.txt
